公文名称,正文链接,发布日期
关于组织推荐绿色技术的通知(发改办环资〔2020〕493号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202007/t20200703_1233106.html,2020-07-03 15:14:52
关于开展2020年全国节能宣传周和全国低碳日活动的通知(发改环资〔2020〕920号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202006/t20200619_1231619.html,2020-06-19 20:03:50
关于做好2020年重点领域化解过剩产能工作的通知(发改运行〔2020〕901号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202006/t20200618_1231503.html,2020-06-18 10:22:10
关于印发《全国重要生态系统保护和修复重大工程总体规划(2021-2035年)》的通知(发改农经〔2020〕837号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202006/t20200611_1231112.html,2020-06-11 08:58:00
关于进一步优化发展环境促进生鲜农产品流通的实施意见(发改经贸〔2020〕809号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202006/t20200608_1230942.html,2020-06-08 16:00:34
关于加快开展县城城镇化补短板强弱项工作的通知(发改规划〔2020〕831号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202006/t20200603_1229778.html,2020-06-03 08:46:09
关于开展园区环境污染第三方治理第二批遴选工作的通知,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202005/t20200528_1229095.html,2020-05-28 10:48:00
关于营造更好发展环境 支持民营节能环保企业健康发展的实施意见(发改环资〔2020〕790号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202005/t20200525_1228833.html,2020-05-25 10:09:21
关于印发《关于完善废旧家电回收处理体系推动家电更新消费的实施方案》的通知(发改产业〔2020〕752号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202005/t20200515_1228206.html,2020-05-15 17:52:48
关于开展双创示范基地创业就业“校企行”专项行动的通知(发改办高技〔2020〕310号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202005/t20200508_1227697.html,2020-05-08 14:29:55
关于长江上游羊石盘至上白沙水道航道整治工程可行性研究报告的批复(发改基础〔2020〕671号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202005/t20200506_1227571.html,2020-05-06 16:48:26
关于稳定和扩大汽车消费若干措施的通知(发改产业〔2020〕684号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202004/t20200430_1227367.html,2020-04-30 14:49:03
关于江苏省建湖县城市建设投资有限公司发行绿色债券核准的批复(发改企业债券〔2020〕69号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/202004/t20200427_1226861.html,2020-04-27 15:15:22
关于印发《长江三角洲地区交通运输更高质量一体化发展规划》的通知(发改基础〔2020〕529号),https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/202004/t20200427_1226858.html,2020-04-27 14:48:26
关于湖北省公安县城建投资有限公司发行绿色债券核准的批复(发改企业债券〔2020〕66号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/202004/t20200422_1226278.html,2020-04-22 08:46:13
关于完善长江经济带污水处理收费机制有关政策的指导意见(发改价格〔2020〕561号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202004/t20200416_1225845.html,2020-04-16 10:16:42
关于新建西安至十堰高速铁路可行性研究报告的批复(发改基础〔2020〕595号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202004/t20200416_1225846.html,2020-04-16 10:08:39
关于加快推进天然气储备能力建设的实施意见(发改价格〔2020〕567号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202004/t20200414_1225639.html,2020-04-14 08:51:33
关于江苏省常州滨江经济开发区投资发展集团有限公司发行绿色债券注册的通知(发改企业债券〔2020〕60号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/202004/t20200410_1225493.html,2020-04-10 15:09:13
关于江苏省苏州市三角咀生态园开发有限公司发行公司债券注册的通知(发改企业债券〔2020〕63号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/202004/t20200410_1225492.html,2020-04-10 15:07:29
关于印发《2020年新型城镇化建设和城乡融合发展重点任务》的通知(发改规划〔2020〕532号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202004/t20200409_1225431.html,2020-04-09 17:04:50
关于印发《长江干线过江通道布局规划（2020—2035年）》的通知(发改基础〔2020〕512号),https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/202004/t20200407_1225299.html,2020-04-07 15:06:40
关于开展社会服务领域双创带动就业示范工作的通知(发改办高技〔2020〕244号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202004/t20200403_1225146.html,2020-04-03 15:18:37
关于四川省成都天府新区投资集团有限公司发行公司债券核准的批复(发改企业债券〔2020〕44号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/202003/t20200325_1224055.html,2020-03-25 14:06:31
北京市通州区与河北省三河、大厂、香河三县市协同发展规划,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/202003/t20200317_1223417.html,2020-03-17 08:00:00
关于湖北省恩施城市建设投资有限公司发行公司债券核准的批复(发改企业债券〔2020〕45号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/202003/t20200316_1223308.html,2020-03-16 11:00:03
关于促进消费扩容提质加快形成强大国内市场的实施意见(发改就业〔2020〕293号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202003/t20200313_1223046.html,2020-03-13 09:27:04
关于印发《美丽中国建设评估指标体系及实施方案》的通知(发改环资〔2020〕296号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202003/t20200306_1222531.html,2020-03-06 09:35:02
关于印发生态综合补偿试点县名单的通知(发改振兴〔2020〕209号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202003/t20200303_1222207.html,2020-03-03 15:21:01
关于湖北省宜昌兴发集团有限责任公司发行绿色债券核准的批复(发改企业债券〔2020〕34号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/202002/t20200228_1221657.html,2020-02-28 10:34:06
关于深圳机场三跑道扩建工程可行性研究报告的批复(发改基础〔2020〕268号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202002/t20200228_1221656.html,2020-02-28 10:21:16
关于进一步加强塑料污染治理的意见(发改环资〔2020〕80号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202001/t20200119_1219275.html,2020-01-19 00:00:00
关于滇中城市群发展规划的复函(发改规划〔2020〕71号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202001/t20200119_1219304.html,2020-01-19 00:00:00
关于新建西宁至成都铁路可行性研究报告的批复(发改基础〔2020〕38号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202001/t20200116_1219088.html,2020-01-16 00:00:00
关于开展2020年度企业债券存续期监督检查和本息兑付风险排查有关工作的通知(发改办财金〔2020〕28号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/202001/t20200116_1219098.html,2020-01-16 00:00:00
关于印发重大水利工程等10个中央预算内涉农投资专项管理办法的通知(发改农经规〔2019〕2028号),https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202001/t20200115_1219036.html,2020-01-15 00:00:00
关于湖南洞庭资源控股集团有限公司发行城市地下综合管廊建设专项债券核准的批复(发改企业债券〔2019〕213号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/202001/t20200108_1218658.html,2020-01-08 00:00:00
关于新建集宁经大同至原平铁路可行性研究报告的批复(发改基础〔2019〕2003号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201912/t20191231_1217318.html,2019-12-31 00:00:00
关于开展国家城乡融合发展试验区工作的通知(发改规划〔2019〕1947号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201912/t20191227_1216773.html,2019-12-27 00:00:00
关于新建沈阳至白河高速铁路可行性研究报告的批复(发改基础〔2019〕1961号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201912/t20191225_1216152.html,2019-12-25 00:00:00
关于新建包头至银川高铁包头至惠农段(含银川至巴彦浩特支线)可行性研究报告的批复(发改基础〔2019〕1962号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201912/t20191225_1216149.html,2019-12-25 00:00:00
关于新建沈阳至白河高速铁路可行性研究报告的批复(发改基础〔2019〕1961号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201912/t20191226_1216247.html,2019-12-25 00:00:00
关于新建包头至银川高铁包头至惠农段(含银川至巴彦浩特支线)可行性研究报告的批复(发改基础〔2019〕1962号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201912/t20191226_1216250.html,2019-12-25 00:00:00
关于湖南省长沙市芙蓉城市建设投资有限责任公司发行公司债券核准的批复(发改企业债券〔2019〕198号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/201912/t20191219_1213773.html,2019-12-19 00:00:00
关于促进生物天然气产业化发展的指导意见(发改能源规〔2019〕1895号),https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/201912/t20191219_1213770.html,2019-12-19 00:00:00
关于浙江省长兴县永兴建设开发有限公司发行绿色债券核准的批复(发改企业债券〔2019〕183号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/201912/t20191209_1210963.html,2019-12-09 00:00:00
关于印发《关于做好特别重大自然灾害灾后恢复重建工作的指导意见》的通知(发改振兴〔2019〕1813号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201911/t20191127_1205067.html,2019-11-27 09:22:23
关于浙江省杭州市城市建设投资集团有限公司发行公司债券核准的批复(发改企业债券〔2019〕168号),https://www.ndrc.gov.cn/xxgk/zcfb/qt/201911/t20191122_1204481.html,2019-11-22 09:31:21
关于印发《生态综合补偿试点方案》的通知(发改振兴〔2019〕1793号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201911/t20191120_1204116.html,2019-11-20 14:11:50
关于印发长三角生态绿色一体化发展示范区总体方案的通知(发改地区〔2019〕1686号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201911/t20191113_1203848.html,2019-11-19 11:06:26
关于推动先进制造业和现代服务业深度融合发展的实施意见(发改产业〔2019〕1762号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201911/t20191115_1203543.html,2019-11-15 09:46:54
关于印发《绿色生活创建行动总体方案》的通知(发改环资〔2019〕1696号),https://www.ndrc.gov.cn/xxgk/zcfb/tz/201911/t20191105_1197738.html,2019-11-05 09:55:54
