公文名称,正文链接,文件类型,发布日期
国务院关于西部大开发“十三五”规划的批复,http://www.gov.cn/zhengce/zhengceku/2017-01/24/content_5162818.htm,国务院文件,2017-01-24
国务院关于西部大开发“十一五”规划的批复,http://www.gov.cn/zhengce/zhengceku/2008-03/28/content_1865.htm,国务院文件,2008-03-28
国务院关于西部大开发“十二五”规划的批复,http://www.gov.cn/zhengce/zhengceku/2012-02/21/content_1265.htm,国务院文件,2012-02-21
国务院关于进一步推进西部大开发的若干意见,http://www.gov.cn/zhengce/zhengceku/2008-03/28/content_2060.htm,国务院文件,2008-03-28
国务院办公厅关于中部六省比照实施振兴东北地区等老工业基地和西部大开发有关政策范围的通知,http://www.gov.cn/zhengce/zhengceku/2008-05/05/content_1919.htm,国务院文件,2008-05-05
关于延续西部大开发企业所得税政策的公告,http://www.gov.cn/zhengce/zhengceku/2020-04/28/content_5506990.htm,国务院部门文件,2020-04-28
教育部关于印发《高校银龄教师支援西部计划实施方案》的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/26/content_5495805.htm,国务院部门文件,2020-03-26
商务部关于应对疫情进一步改革开放做好稳外资工作的通知,http://www.gov.cn/zhengce/zhengceku/2020-04/03/content_5498839.htm,国务院部门文件,2020-04-03
国家发展改革委办公厅关于印发2018年中国西部开发远程学习网培训计划的通知,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5434588.htm,国务院部门文件,2018-12-31
国家发展改革委办公厅关于印发2019年东部城市支持西部地区人才培训计划的通知,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5434928.htm,国务院部门文件,2018-12-31
国务院要求落实落细支持政策助力企业渡难关,http://www.gov.cn/zhengce/2020-04/15/content_5502443.htm,解读,2020-04-15
国务院常务会:落实落细支持企业政策,http://www.gov.cn/zhengce/2020-04/15/content_5502621.htm,解读,2020-04-15
黄守宏:扎实做好“六稳”工作 着力落实“六保”任务,http://www.gov.cn/zhengce/2020-06/18/content_5520141.htm,解读,2020-06-18
"新旧减税费达1.6万亿元,西部15%所得税优惠政策延续",http://www.gov.cn/zhengce/2020-04/15/content_5502618.htm,解读,2020-04-15
"政府工作报告中,做好气象服务,这六个字掷地有声",http://www.gov.cn/zhengce/2020-05/23/content_5514179.htm,解读,2020-05-23
国务院关于落实《政府工作报告》重点工作部门分工的意见,http://www.gov.cn/gongbao/content/2020/content_5519943.htm,国务院公报,2020-06-20
政府工作报告 ——2020年5月22日在第十三届全国人民代表大会第三次会议上 …………… 国务院总理 李克强,http://www.gov.cn/gongbao/content/2020/content_5517495.htm,国务院公报,2020-06-10
中共中央 国务院关于新时代推进西部大开发形成新格局的指导意见,http://www.gov.cn/gongbao/content/2020/content_5515272.htm,国务院公报,2020-05-30
国务院关于同意设立广西百色重点开发开放试验区的批复,http://www.gov.cn/gongbao/content/2020/content_5503538.htm,国务院公报,2020-04-20
财政部关于修订发布《普惠金融发展专项资金管理办法》的通知 普惠金融发展专项资金管理办法（修订稿）,http://www.gov.cn/gongbao/content/2020/content_5480495.htm,国务院公报,2020-02-20
国务院关于落实《政府工作报告》重点工作部门分工的意见,http://www.gov.cn/zhengce/zhengceku/2020-06/11/content_5518699.htm,国务院文件,2020-06-11
国务院关于同意设立广西百色重点开发开放试验区的批复,http://www.gov.cn/zhengce/zhengceku/2020-04/07/content_5499778.htm,国务院文件,2020-04-07
国务院关于陕西省土地利用总体规划的批复,http://www.gov.cn/zhengce/zhengceku/2018-08/24/content_5316147.htm,国务院文件,2018-08-24
国务院关于新疆维吾尔自治区土地利用总体规划的批复,http://www.gov.cn/zhengce/zhengceku/2018-08/24/content_5316150.htm,国务院文件,2018-08-24
国务院关于甘肃省土地利用总体规划的批复,http://www.gov.cn/zhengce/zhengceku/2018-08/30/content_5317706.htm,国务院文件,2018-08-30
科技部关于支持四川省建设成德绵国家科技成果转移转化示范区的函,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5435414.htm,国务院部门文件,2018-12-31
教育部关于印发《普通高等学校思想政治理论课教师队伍培养规划（2019—2023年）》的通知,http://www.gov.cn/zhengce/zhengceku/2019-10/23/content_5444000.htm,国务院部门文件,2019-10-23
关于进一步做好创业担保贷款财政贴息工作的通知,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5439367.htm,国务院部门文件,2018-12-31
文化和旅游部等10部门关于印发内蒙古满洲里、广西防城港边境旅游试验区建设实施方案的通知,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5433322.htm,国务院部门文件,2018-12-31
商务部外贸司负责人谈《关于同意在石家庄等24个城市设立跨境电子商务综合试验区的批复》,http://www.gov.cn/zhengce/2019-12/30/content_5465271.htm,解读,2019-12-30
我国自贸试验区建设布局逐步完善,http://www.gov.cn/zhengce/2019-08/27/content_5424791.htm,解读,2019-08-27
西部主要经济指标高于全国平均水平,http://www.gov.cn/zhengce/2018-09/10/content_5320664.htm,解读,2018-09-10
中国成世界扶贫典范,http://www.gov.cn/zhengce/2018-11/26/content_5343266.htm,解读,2018-11-26
范围更大、门槛更低、要求更宽、流程更优——自主创业农民也可申请创业担保贷款,http://www.gov.cn/zhengce/2018-04/03/content_5279400.htm,解读,2018-04-03
中华人民共和国生态环境部公告（2019年第22号） 决定废止、修改的规范性文件,http://www.gov.cn/gongbao/content/2019/content_5442282.htm,国务院公报,2019-10-20
中共中央 国务院关于建立更加有效的区域协调发展新机制的意见,http://www.gov.cn/gongbao/content/2018/content_5350042.htm,国务院公报,2018-12-20
国务院关于落实《政府工作报告》重点工作部门分工的意见,http://www.gov.cn/gongbao/content/2018/content_5286360.htm,国务院公报,2018-04-30
政府工作报告 …………………………………………………………… 中华人民共和国国务院总理 李克强,http://www.gov.cn/gongbao/content/2018/content_5286356.htm,国务院公报,2018-04-30
工业和信息化部关于印发《国家中小企业公共服务示范平台认定管理办法》的通知 国家中小企业公共服务示范平台认定管理办法,http://www.gov.cn/gongbao/content/2017/content_5248228.htm,国务院公报,2017-12-20
国务院关于新疆生产建设兵团土地利用总体规划的批复,http://www.gov.cn/zhengce/zhengceku/2018-08/30/content_5317709.htm,国务院文件,2018-08-30
国务院关于西藏自治区土地利用总体规划的批复,http://www.gov.cn/zhengce/zhengceku/2018-08/30/content_5317711.htm,国务院文件,2018-08-30
国务院关于宁夏回族自治区土地利用总体规划的批复,http://www.gov.cn/zhengce/zhengceku/2018-08/30/content_5317753.htm,国务院文件,2018-08-30
国务院关于广西壮族自治区土地利用总体规划的批复,http://www.gov.cn/zhengce/zhengceku/2018-09/04/content_5319070.htm,国务院文件,2018-09-04
国务院关于内蒙古自治区土地利用总体规划的批复,http://www.gov.cn/zhengce/zhengceku/2018-09/05/content_5319364.htm,国务院文件,2018-09-05
